sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;117;117;117;117;117;117;117;117;117;117;117;117
;;;;;SIM;111;111;111;111;111;111;111;111;111;111;111;111
;;;;;NÃO;10;10;10;10;10;10;10;10;10;10;10;10
;;;;ANALFABETO;;93;93;93;93;93;93;93;93;93;93;93;93
;;;;ANALFABETO;SIM;80;80;80;80;80;80;80;80;80;80;80;80
;;;;ANALFABETO;NÃO;13;13;13;13;13;13;13;13;13;13;13;13
;;;;ATE 5.A INC;;245;245;245;245;245;245;245;245;245;245;245;245
;;;;ATE 5.A INC;SIM;222;222;222;222;222;222;222;222;222;222;222;222
;;;;ATE 5.A INC;NÃO;23;23;23;23;23;23;23;23;23;23;23;23
;;;;5.A CO FUND;;209;209;209;209;209;209;209;209;209;209;209;209
;;;;5.A CO FUND;SIM;195;195;195;195;195;195;195;195;195;195;195;195
;;;;5.A CO FUND;NÃO;14;14;14;14;14;14;14;14;14;14;14;14
;;;;6. A 9. FUND;;174;174;174;174;174;174;174;174;174;174;174;174
;;;;6. A 9. FUND;SIM;403;403;403;403;403;403;403;403;403;403;403;403
;;;;6. A 9. FUND;NÃO;38;38;38;38;38;38;38;38;38;38;38;38
;;;;FUND COMPL;;803;803;803;803;803;803;803;803;803;803;803;803
;;;;FUND COMPL;SIM;1051;1051;1051;1051;1051;1051;1051;1051;1051;1051;1051;1051
;;;;FUND COMPL;NÃO;125;125;125;125;125;125;125;125;125;125;125;125
;;;;MEDIO INCOMP;;13;13;13;13;13;13;13;13;13;13;13;13
;;;;MEDIO INCOMP;SIM;552;552;552;552;552;552;552;552;552;552;552;552
;;;;MEDIO INCOMP;NÃO;45;45;45;45;45;45;45;45;45;45;45;45
;;;;MEDIO COMPL;;11;11;11;11;11;11;11;11;11;11;11;11
;;;;MEDIO COMPL;SIM;9;9;9;9;9;9;9;9;9;9;9;9
;;;;MEDIO COMPL;NÃO;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375
;;;;SUP. INCOMP;;713;713;713;713;713;713;713;713;713;713;713;713
;;;;SUP. INCOMP;SIM;609;609;609;609;609;609;609;609;609;609;609;609
;;;;SUP. INCOMP;NÃO;104;104;104;104;104;104;104;104;104;104;104;104
;;;;SUP. COMP;;1867;1867;1867;1867;1867;1867;1867;1867;1867;1867;1867;1867
;;;;SUP. COMP;SIM;1760;1760;1760;1760;1760;1760;1760;1760;1760;1760;1760;1760
;;;;SUP. COMP;NÃO;107;107;107;107;107;107;107;107;107;107;107;107
;;;;MESTRADO;;19;19;19;19;19;19;19;19;19;19;19;19
;;;;MESTRADO;SIM;18;18;18;18;18;18;18;18;18;18;18;18
;;;;MESTRADO;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;;DOUTORADO;;11;11;11;11;11;11;11;11;11;11;11;11
;;;;DOUTORADO;SIM;11;11;11;11;11;11;11;11;11;11;11;11
;;;;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;;;396;396;396;396;396;396;396;396;396;396;396;396
;;;14 a 17;;SIM;233;233;233;233;233;233;233;233;233;233;233;233
;;;14 a 17;;NÃO;163;163;163;163;163;163;163;163;163;163;163;163
;;;14 a 17;ANALFABETO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ANALFABETO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ANALFABETO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;5.A CO FUND;;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;5.A CO FUND;SIM;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;6. A 9. FUND;;17;17;17;17;17;17;17;17;17;17;17;17
;;;14 a 17;6. A 9. FUND;SIM;3;3;3;3;3;3;3;3;3;3;3;3
;;;14 a 17;6. A 9. FUND;NÃO;14;14;14;14;14;14;14;14;14;14;14;14
;;;14 a 17;FUND COMPL;;13;13;13;13;13;13;13;13;13;13;13;13
;;;14 a 17;FUND COMPL;SIM;12;12;12;12;12;12;12;12;12;12;12;12
;;;14 a 17;FUND COMPL;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;MEDIO INCOMP;;198;198;198;198;198;198;198;198;198;198;198;198
;;;14 a 17;MEDIO INCOMP;SIM;90;90;90;90;90;90;90;90;90;90;90;90
;;;14 a 17;MEDIO INCOMP;NÃO;108;108;108;108;108;108;108;108;108;108;108;108
;;;14 a 17;MEDIO COMPL;;159;159;159;159;159;159;159;159;159;159;159;159
;;;14 a 17;MEDIO COMPL;SIM;123;123;123;123;123;123;123;123;123;123;123;123
;;;14 a 17;MEDIO COMPL;NÃO;36;36;36;36;36;36;36;36;36;36;36;36
;;;14 a 17;SUP. INCOMP;;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;SUP. INCOMP;SIM;3;3;3;3;3;3;3;3;3;3;3;3
;;;14 a 17;SUP. INCOMP;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;;14 a 17;SUP. COMP;;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;SUP. COMP;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;SUP. COMP;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;MESTRADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;MESTRADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
