sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;256;256;256;256;256;256;256;256;256;256;256;256
;;;;;SIM;252;252;252;252;252;252;252;252;252;252;252;252
;;;;;NÃO;447;447;447;447;447;447;447;447;447;447;447;447
;;;;ANALFABETO;;87;87;87;87;87;87;87;87;87;87;87;87
;;;;ANALFABETO;SIM;82;82;82;82;82;82;82;82;82;82;82;82
;;;;ANALFABETO;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
;;;;ATE 5.A INC;;286;286;286;286;286;286;286;286;286;286;286;286
;;;;ATE 5.A INC;SIM;279;279;279;279;279;279;279;279;279;279;279;279
;;;;ATE 5.A INC;NÃO;7;7;7;7;7;7;7;7;7;7;7;7
;;;;5.A CO FUND;;261;261;261;261;261;261;261;261;261;261;261;261
;;;;5.A CO FUND;SIM;253;253;253;253;253;253;253;253;253;253;253;253
;;;;5.A CO FUND;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;;;6. A 9. FUND;;656;656;656;656;656;656;656;656;656;656;656;656
;;;;6. A 9. FUND;SIM;632;632;632;632;632;632;632;632;632;632;632;632
;;;;6. A 9. FUND;NÃO;24;24;24;24;24;24;24;24;24;24;24;24
;;;;FUND COMPL;;1597;1597;1597;1597;1597;1597;1597;1597;1597;1597;1597;1597
;;;;FUND COMPL;SIM;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509
;;;;FUND COMPL;NÃO;88;88;88;88;88;88;88;88;88;88;88;88
;;;;MEDIO INCOMP;;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031
;;;;MEDIO INCOMP;SIM;1137;1137;1137;1137;1137;1137;1137;1137;1137;1137;1137;1137
;;;;MEDIO INCOMP;NÃO;79;79;79;79;79;79;79;79;79;79;79;79
;;;;MEDIO COMPL;;15408;15408;15408;15408;15408;15408;15408;15408;15408;15408;15408;15408
;;;;MEDIO COMPL;SIM;14576;14576;14576;14576;14576;14576;14576;14576;14576;14576;14576;14576
;;;;MEDIO COMPL;NÃO;832;832;832;832;832;832;832;832;832;832;832;832
;;;;SUP. INCOMP;;733;733;733;733;733;733;733;733;733;733;733;733
;;;;SUP. INCOMP;SIM;693;693;693;693;693;693;693;693;693;693;693;693
