sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;1502;1502;1502;1502;1502;1502;1502;1502;1502;1502;1502;1502
;;;;;SIM;1438;1438;1438;1438;1438;1438;1438;1438;1438;1438;1438;1438
;;;;;NÃO;64;64;64;64;64;64;64;64;64;64;64;64
;;;;ANALFABETO;;624;624;624;624;624;624;624;624;624;624;624;624
;;;;ANALFABETO;SIM;672;672;672;672;672;672;672;672;672;672;672;672
;;;;ANALFABETO;NÃO;50;50;50;50;50;50;50;50;50;50;50;50
;;;;ATE 5.A INC;;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104
;;;;ATE 5.A INC;SIM;1673;1673;1673;1673;1673;1673;1673;1673;1673;1673;1673;1673
;;;;ATE 5.A INC;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;;;5.A CO FUND;;906;906;906;906;906;906;906;906;906;906;906;906
;;;;5.A CO FUND;SIM;1316;1316;1316;1316;1316;1316;1316;1316;1316;1316;1316;1316
;;;;5.A CO FUND;NÃO;104;104;104;104;104;104;104;104;104;104;104;104
;;;;6. A 9. FUND;;37;37;37;37;37;37;37;37;37;37;37;37
;;;;6. A 9. FUND;SIM;985;985;985;985;985;985;985;985;985;985;985;985
;;;;6. A 9. FUND;NÃO;34;34;34;34;34;34;34;34;34;34;34;34
;;;;FUND COMPL;;14;14;14;14;14;14;14;14;14;14;14;14
;;;;FUND COMPL;SIM;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587
;;;;FUND COMPL;NÃO;11;11;11;11;11;11;11;11;11;11;11;11
;;;;MEDIO INCOMP;;47;47;47;47;47;47;47;47;47;47;47;47
;;;;MEDIO INCOMP;SIM;7;7;7;7;7;7;7;7;7;7;7;7
;;;;MEDIO INCOMP;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;;;MEDIO COMPL;;27;27;27;27;27;27;27;27;27;27;27;27
;;;;MEDIO COMPL;SIM;12864;12864;12864;12864;12864;12864;12864;12864;12864;12864;12864;12864
;;;;MEDIO COMPL;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;;;SUP. INCOMP;;3031;3031;3031;3031;3031;3031;3031;3031;3031;3031;3031;3031
;;;;SUP. INCOMP;SIM;3539;3539;3539;3539;3539;3539;3539;3539;3539;3539;3539;3539
;;;;SUP. INCOMP;NÃO;199;199;199;199;199;199;199;199;199;199;199;199
;;;;SUP. COMP;;13021;13021;13021;13021;13021;13021;13021;13021;13021;13021;13021;13021
;;;;SUP. COMP;SIM;11911;11911;11911;11911;11911;11911;11911;11911;11911;11911;11911;11911
;;;;SUP. COMP;NÃO;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110;1110
;;;;MESTRADO;;185;185;185;185;185;185;185;185;185;185;185;185
;;;;MESTRADO;SIM;179;179;179;179;179;179;179;179;179;179;179;179
;;;;MESTRADO;NÃO;6;6;6;6;6;6;6;6;6;6;6;6
;;;;DOUTORADO;;68;68;68;68;68;68;68;68;68;68;68;68
;;;;DOUTORADO;SIM;62;62;62;62;62;62;62;62;62;62;62;62
;;;;DOUTORADO;NÃO;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;;;3178;3178;3178;3178;3178;3178;3178;3178;3178;3178;3178;3178
;;;14 a 17;;SIM;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375;2375
;;;14 a 17;;NÃO;803;803;803;803;803;803;803;803;803;803;803;803
;;;14 a 17;ANALFABETO;;12;12;12;12;12;12;12;12;12;12;12;12
;;;14 a 17;ANALFABETO;SIM;9;9;9;9;9;9;9;9;9;9;9;9
;;;14 a 17;ANALFABETO;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;;14 a 17;ATE 5.A INC;;4;4;4;4;4;4;4;4;4;4;4;4
;;;14 a 17;ATE 5.A INC;SIM;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;ATE 5.A INC;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;5.A CO FUND;;17;17;17;17;17;17;17;17;17;17;17;17
;;;14 a 17;5.A CO FUND;SIM;12;12;12;12;12;12;12;12;12;12;12;12
;;;14 a 17;5.A CO FUND;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
