sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;1562;1562;1562;1562;1562;1562;1562;1562;1562;1562;1562;1562
;;;;;SIM;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405
;;;;;NÃO;157;157;157;157;157;157;157;157;157;157;157;157
;;;;ANALFABETO;;698;698;698;698;698;698;698;698;698;698;698;698
;;;;ANALFABETO;SIM;520;520;520;520;520;520;520;520;520;520;520;520
;;;;ANALFABETO;NÃO;222;222;222;222;222;222;222;222;222;222;222;222
;;;;ATE 5.A INC;;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950;2950
;;;;ATE 5.A INC;SIM;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764
;;;;ATE 5.A INC;NÃO;186;186;186;186;186;186;186;186;186;186;186;186
;;;;5.A CO FUND;;2167;2167;2167;2167;2167;2167;2167;2167;2167;2167;2167;2167
;;;;5.A CO FUND;SIM;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031
;;;;5.A CO FUND;NÃO;136;136;136;136;136;136;136;136;136;136;136;136
;;;;6. A 9. FUND;;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663
;;;;6. A 9. FUND;SIM;5438;5438;5438;5438;5438;5438;5438;5438;5438;5438;5438;5438
;;;;6. A 9. FUND;NÃO;118;118;118;118;118;118;118;118;118;118;118;118
;;;;FUND COMPL;;2249;2249;2249;2249;2249;2249;2249;2249;2249;2249;2249;2249
;;;;FUND COMPL;SIM;11100;11100;11100;11100;11100;11100;11100;11100;11100;11100;11100;11100
;;;;FUND COMPL;NÃO;235;235;235;235;235;235;235;235;235;235;235;235
;;;;MEDIO INCOMP;;2439;2439;2439;2439;2439;2439;2439;2439;2439;2439;2439;2439
;;;;MEDIO INCOMP;SIM;2147;2147;2147;2147;2147;2147;2147;2147;2147;2147;2147;2147
;;;;MEDIO INCOMP;NÃO;292;292;292;292;292;292;292;292;292;292;292;292
;;;;MEDIO COMPL;;7;7;7;7;7;7;7;7;7;7;7;7
;;;;MEDIO COMPL;SIM;51238;51238;51238;51238;51238;51238;51238;51238;51238;51238;51238;51238
;;;;MEDIO COMPL;NÃO;711;711;711;711;711;711;711;711;711;711;711;711
