sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;2271611;2579192;2234662;2282187;2256225;0;0;0;0;0;0;0
;;;;;SIM;2066290;2349813;2038945;2093216;2062602;0;0;0;0;0;0;0
;;;;;NÃO;205321;229379;195717;188971;193623;0;0;0;0;0;0;0
;;;;ANALFABETO;;9664;11138;9774;9948;10393;0;0;0;0;0;0;0
;;;;ANALFABETO;SIM;8964;10389;9011;9089;9496;0;0;0;0;0;0;0
;;;;ANALFABETO;NÃO;700;749;763;859;897;0;0;0;0;0;0;0
;;;;ATE 5.A INC;;40450;43625;38042;39106;41954;0;0;0;0;0;0;0
;;;;ATE 5.A INC;SIM;38375;41634;36389;37262;39824;0;0;0;0;0;0;0
;;;;ATE 5.A INC;NÃO;2075;1991;1653;1844;2130;0;0;0;0;0;0;0
;;;;5.A CO FUND;;29265;30716;26701;28855;29587;0;0;0;0;0;0;0
;;;;5.A CO FUND;SIM;27674;29394;25543;27602;27838;0;0;0;0;0;0;0
;;;;5.A CO FUND;NÃO;1591;1322;1158;1253;1749;0;0;0;0;0;0;0
;;;;6. A 9. FUND;;93974;102218;88635;89777;90481;0;0;0;0;0;0;0
;;;;6. A 9. FUND;SIM;86576;94501;81850;83758;84667;0;0;0;0;0;0;0
;;;;6. A 9. FUND;NÃO;7398;7717;6785;6019;5814;0;0;0;0;0;0;0
;;;;FUND COMPL;;157087;166970;145365;146197;147706;0;0;0;0;0;0;0
;;;;FUND COMPL;SIM;143755;155108;135600;136845;137370;0;0;0;0;0;0;0
;;;;FUND COMPL;NÃO;13332;11862;9765;9352;10336;0;0;0;0;0;0;0
;;;;MEDIO INCOMP;;177161;202279;173298;172839;173783;0;0;0;0;0;0;0
;;;;MEDIO INCOMP;SIM;142298;159960;140371;144313;143590;0;0;0;0;0;0;0
;;;;MEDIO INCOMP;NÃO;34863;42319;32927;28526;30193;0;0;0;0;0;0;0
;;;;MEDIO COMPL;;1463475;1649566;1457115;1493381;1475802;0;0;0;0;0;0;0
;;;;MEDIO COMPL;SIM;1332541;1506273;1331897;1369489;1350521;0;0;0;0;0;0;0
;;;;MEDIO COMPL;NÃO;130934;143293;125218;123892;125281;0;0;0;0;0;0;0
;;;;SUP. INCOMP;;84897;98384;87853;91299;88056;0;0;0;0;0;0;0
;;;;SUP. INCOMP;SIM;79598;91680;81239;84666;81047;0;0;0;0;0;0;0
;;;;SUP. INCOMP;NÃO;5299;6704;6614;6633;7009;0;0;0;0;0;0;0
;;;;SUP. COMP;;186060;230050;178365;181703;170777;0;0;0;0;0;0;0
;;;;SUP. COMP;SIM;177819;218230;168875;172300;161574;0;0;0;0;0;0;0
;;;;SUP. COMP;NÃO;8241;11820;9490;9403;9203;0;0;0;0;0;0;0
;;;;MESTRADO;;3669;7899;3752;3117;2998;0;0;0;0;0;0;0
;;;;MESTRADO;SIM;3540;7727;3612;2992;2910;0;0;0;0;0;0;0
;;;;MESTRADO;NÃO;129;172;140;125;88;0;0;0;0;0;0;0
;;;;DOUTORADO;;1298;3113;1475;1192;1018;0;0;0;0;0;0;0
;;;;DOUTORADO;SIM;1241;3027;1399;1144;982;0;0;0;0;0;0;0
;;;;DOUTORADO;NÃO;57;86;76;48;36;0;0;0;0;0;0;0
;;;14 A 17;;;68602;79579;60605;52667;51211;0;0;0;0;0;0;0
;;;14 A 17;;SIM;37311;39637;31521;29198;27237;0;0;0;0;0;0;0
;;;14 A 17;;NÃO;31291;39942;29084;23469;23974;0;0;0;0;0;0;0
;;;14 A 17;ANALFABETO;;93;123;83;81;62;0;0;0;0;0;0;0
;;;14 A 17;ANALFABETO;SIM;58;69;60;48;41;0;0;0;0;0;0;0
;;;14 A 17;ANALFABETO;NÃO;35;54;23;33;21;0;0;0;0;0;0;0
;;;14 A 17;ATE 5.A INC;;152;217;171;129;116;0;0;0;0;0;0;0
;;;14 A 17;ATE 5.A INC;SIM;111;113;88;82;76;0;0;0;0;0;0;0
;;;14 A 17;ATE 5.A INC;NÃO;41;104;83;47;40;0;0;0;0;0;0;0
