sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;;;1887422;1942959;2018105;2020406;1984515;1869944;1999612;1998897;1916111;2090248;1871746;2059798
;;;;;SIM;1725816;1788195;1856419;1866588;1830782;1720844;1833776;1837383;1759577;1920446;1712168;1819536
;;;;;NÃO;161606;154764;161686;153818;153733;149100;165836;161514;156534;169802;159578;240262
;;;;ANALFABETO;;7382;9111;10947;9460;8641;7932;8206;8428;8298;9480;8628;8925
;;;;ANALFABETO;SIM;6980;8630;10466;8932;8078;7422;7597;7840;7704;8808;8009;7909
;;;;ANALFABETO;NÃO;402;481;481;528;563;510;609;588;594;672;619;1016
;;;;ATE 5.A INC;;33358;37522;43740;39573;36953;33715;36049;36476;34708;38858;37425;38704
;;;;ATE 5.A INC;SIM;32219;36056;42075;38061;35285;32358;34549;34881;33251;37367;35960;35973
;;;;ATE 5.A INC;NÃO;1139;1466;1665;1512;1668;1357;1500;1595;1457;1491;1465;2731
;;;;5.A CO FUND;;26340;29772;30018;27828;27821;25254;26533;26809;25224;27272;26002;30542
;;;;5.A CO FUND;SIM;25407;28820;29008;26888;26655;24243;25542;25855;24388;26406;25042;29212
;;;;5.A CO FUND;NÃO;933;952;1010;940;1166;1011;991;954;836;866;960;1330
;;;;6. A 9. FUND;;77791;82471;89193;87720;86865;79328;83295;84196;80340;87360;81381;86994
;;;;6. A 9. FUND;SIM;72465;76552;83667;82442;81707;74713;78060;79140;75619;82150;76497;78796
;;;;6. A 9. FUND;NÃO;5326;5919;5526;5278;5158;4615;5235;5056;4721;5210;4884;8198
;;;;FUND COMPL;;131888;137392;143632;142860;142632;131762;139829;139807;133465;146931;135412;145007
;;;;FUND COMPL;SIM;124375;129328;134864;134903;133687;124540;131149;131517;125687;137563;127098;132324
;;;;FUND COMPL;NÃO;7513;8064;8768;7957;8945;7222;8680;8290;7778;9368;8314;12683
;;;;MEDIO INCOMP;;140111;145367;145688;146405;144378;136121;148837;149553;144947;157622;142335;162838
;;;;MEDIO INCOMP;SIM;117733;122301;125271;126920;125019;116321;124541;126836;123728;135378;121743;125019
;;;;MEDIO INCOMP;NÃO;22378;23066;20417;19485;19359;19800;24296;22717;21219;22244;20592;37819
;;;;MEDIO COMPL;;1214169;1230207;1281323;1291244;1270814;1198787;1280929;1281349;1235778;1353465;1204236;1283505
;;;;MEDIO COMPL;SIM;1105050;1128641;1171777;1187484;1167591;1097283;1170411;1173323;1130306;1237831;1094731;1131851
;;;;MEDIO COMPL;NÃO;109119;101566;109546;103760;103223;101504;110518;108026;105472;115634;109505;151654
;;;;SUP. INCOMP;;73508;77500;80533;81739;78837;74235;79471;81069;77522;83356;70496;75859
;;;;SUP. INCOMP;SIM;67187;71427;73965;75270;72652;68282;72926;74196;70871;76782;64461;67139
;;;;SUP. INCOMP;NÃO;6321;6073;6568;6469;6185;5953;6545;6873;6651;6574;6035;8720
;;;;SUP. COMP;;178470;167187;188911;189815;183942;177621;189858;163799;152794;161873;143760;192427
;;;;SUP. COMP;SIM;170124;160799;181341;182049;176610;170621;182565;157179;145798;154972;137208;177894
;;;;SUP. COMP;NÃO;8346;6388;7570;7766;7332;7000;7293;6620;6996;6901;6552;14533
;;;;MESTRADO;;3109;3951;3020;2774;2655;3720;4667;3721;2525;2600;2317;6023
;;;;MESTRADO;SIM;3014;3862;2920;2685;2552;3635;4555;3632;2441;2504;2261;5864
;;;;MESTRADO;NÃO;95;89;100;89;103;85;112;89;84;96;56;159
;;;;DOUTORADO;;1240;1534;1100;988;977;1469;1938;1442;908;1029;923;2762
;;;;DOUTORADO;SIM;1209;1496;1065;954;946;1426;1881;1402;885;981;876;2683
;;;;DOUTORADO;NÃO;31;38;35;34;31;43;57;40;23;48;47;79
;;;14 A 17;;;25111;26631;23489;22483;20896;20844;25032;24328;23194;24362;21837;38205
